title,keywords
#Horror,"drama, horror, thriller, mystery"
$upercapitalist,thriller
(500) Days of Summer,"drama, comedy, romance, date, sex, jealousy, fight, architect, gallery, interview, sister, party, love, friends, fate, los angeles, summer, ikea, year, heartache"
...E tu vivrai nel terrore! L'aldilà,"hotel, experiment, hell, gore, morgue, undead, blood, zombie, violence, gothic horror, gothic, mutilation, ghost, blindness, video nasty, acid, grim, dire, entrails, horror"
[REC],"horror, mystery, terror, obsession, camcorder, firemen, religion and supernatural, reality tv, bite, cinematographer, attempt to escape, lodger, live-reportage, found footage"
[REC]²,"religion and supernatural, blood sample, occult, swat team, gas mask, night vision, freezer, found footage, horror, thriller"
10 Cloverfield Lane,"drama, thriller, science fiction, kidnapping, bunker, paranoia, basement, survivalist, apocalypse, car accident, captive"
10 Days in a Madhouse,"undercover, insane asylum, reporter, drama"
10 Things I Hate About You,"drama, comedy, romance, shakespeare, sister, high school, cannabis, deception, teen movie, shrew, archery, feel-good ending, opposites attract, duringcreditsstinger, teenage romance, play adaptation, overprotective father"
102 Dalmatians,"london england, prison, release from prison, women's prison, society for the prevention of cruelty to animals, puppy, pelz, dog, dalmatian, comedy, family"
10th & Wolf,"drama, action, thriller, crime, mystery, undercover, mafia, mobster, crime family"
11:14,"alcohol, sex, robbery, secret, gun, ambulance, vandalism, chase, arrest, police, cops, murder, crash, connected, drama, thriller, crime"
12 Angry Men,"drama, judge, jurors, sultriness, death penalty, father murder, puerto rican, anonymity, court case, heat, group, class, innocence, court, courtroom"
12 Rounds,"adventure, drama, action, thriller, police, cops, cat and mouse, family, revenge drama"
12 Years a Slave,"whip, kidnapping, slavery, plantation, night shift, violin player, physical abuse, cotton, slave owner, 19th century, sold into slavery, abolitionist, drama, history"
127 Hours,"adventure, drama, thriller, mountains, despair, adventure, utah, alone, canyon, climbing, based on true story, rescue, survival, escape, true, trapped, boulder, adventurer, flashback, climber, isolated, hikers, very little dialogue"
13 Going on 30,"new york, photographer, editor-in-chief, wish, michael jackson, child as an adult, best friends in love, fantasy, comedy, romance"
13 Hours: The Secret Soldiers of Benghazi,"drama, action, history, thriller, war, based on novel, assault rifle, mercenary, libya, biography, based on true story, heroism, explosion, american abroad, death, 21st century, cia agent, u.s. ambassador"
1408,"horror, thriller, suicide, new york, hotel, fire, hotel room, wife husband relationship, suicide attempt, window, door, haunted house, research, ghost world, painting, telephone, loss of daughter, blood"
15 Minutes,"new york, female nudity, prison, prostitute, rape, robbery, fire, detective, airport, shotgun, prisoner, ex-detainee, attempted murder, paranoia, russian, eastern europe, video, knife, fistfight, police, thief, revenge, video camera, escape, breast, dead body, lawyer, shot to death, torture, fear, new york city, urination, violence, home invasion, criminal, police detective, death, drunk, nypd, news report, gun violence, graveyard, death of boyfriend, action, thriller, crime"
16 Blocks,"adventure, action, thriller, crime, mission of murder, male bonding, doing the right thing, people change"
16 to Life,"comedy, romance, affection, woman director"
17 Again,"comedy, high school, bullying, high school sports, fake identity, adult as a child, do over"
1776,"usa, congress, musical, drama, comedy, history, music"
1941,"action, comedy, submarine, california, world war ii, war ship, pearl harbor, satire, los angeles, anarchic comedy"
1947: Earth,"based on novel, war of independence, period drama, woman director, partition, 1940s, lahore, drama"
1982,"drama, drug addiction, father daughter relationship, semi autobiographical"
2 Fast 2 Furious,"miami, car race, sports car, los angeles, car, automobile racing, action, thriller, crime"
2 Guns,"action, comedy, crime, undercover, undercover agent, based on comic book, money, fugitive, bank robbery, dea agent"
2:13,"horror, thriller, mystery, thriller, forensic"
20 Dates,"comedy, romance, hidden camera, biography, reality show, mockumentary"
20 Feet from Stardom,"documentary, music"
"20,000 Leagues Under the Sea","diving, ocean, submarine, jules verne, captain, atlantis, deep sea, war ship, diving suit, harpoon, ship, war, scuba diving, underwater, scuba, captain nemo, giant  squid, adventure, drama, science fiction"
200 Cigarettes,"drama, comedy, romance, new year's eve, independent film, relationship, woman director, lower east side"
2001: A Space Odyssey,"adventure, science fiction, mystery, moon, jupiter, artificial intelligence, man vs machine, technology, super computer, human being, space travel, space mission, moon base, astronaut, evolution, monolith, space station"
2012,"adventure, action, science fiction, civilization, natural disaster, end of the world, disaster, apocalypse, destruction, volcanic eruption, mayan, ark, solar, destruction  of mankind"
2016: Obama's America,documentary
